time,signal,result,profit,balance
2026-02-16T10:00:00.000000000Z,SELL,WIN,234.88,11978.45
2026-02-18T08:00:00.000000000Z,SELL,LOSS,-119.78,11858.67
2026-02-25T14:00:00.000000000Z,SELL,LOSS,-118.59,11740.08
2026-03-02T05:00:00.000000000Z,SELL,WIN,234.80,11974.88
2026-03-02T21:00:00.000000000Z,SELL,LOSS,-119.75,11855.13
2026-03-03T04:00:00.000000000Z,SELL,WIN,237.10,12092.23
2026-03-04T09:00:00.000000000Z,SELL,LOSS,-120.92,11971.31
2026-03-05T20:00:00.000000000Z,SELL,LOSS,-119.71,11851.60
2026-03-12T13:00:00.000000000Z,SELL,LOSS,-118.52,11733.08
2026-03-16T05:00:00.000000000Z,SELL,WIN,234.66,11967.74
2026-03-18T04:00:00.000000000Z,BUY,LOSS,-119.68,11848.06
2026-03-22T21:00:00.000000000Z,BUY,WIN,236.96,12085.02
2026-03-23T00:00:00.000000000Z,BUY,LOSS,-120.85,11964.17
2026-03-23T18:00:00.000000000Z,BUY,LOSS,-119.64,11844.53
2026-03-24T21:00:00.000000000Z,BUY,WIN,236.90,12081.43
2026-03-26T11:00:00.000000000Z,SELL,WIN,241.62,12323.05
2026-03-26T17:00:00.000000000Z,SELL,LOSS,-123.23,12199.82
2026-03-27T07:00:00.000000000Z,SELL,WIN,244.00,12443.82
2026-03-30T07:00:00.000000000Z,SELL,WIN,248.88,12692.70
2026-03-31T11:00:00.000000000Z,SELL,LOSS,-126.93,12565.77
2026-04-07T12:00:00.000000000Z,BUY,WIN,251.32,12817.09
2026-04-10T04:00:00.000000000Z,BUY,LOSS,-128.17,12688.92
2026-04-10T10:00:00.000000000Z,BUY,WIN,253.78,12942.70
2026-04-14T23:00:00.000000000Z,BUY,LOSS,-129.43,12813.27
2026-04-15T19:00:00.000000000Z,BUY,WIN,256.26,13069.53
2026-04-22T12:00:00.000000000Z,SELL,WIN,261.40,13330.93
2026-04-23T18:00:00.000000000Z,SELL,LOSS,-133.31,13197.62
2026-05-01T11:00:00.000000000Z,BUY,WIN,263.96,13461.58
2026-05-05T12:00:00.000000000Z,SELL,LOSS,-134.62,13326.96
2026-05-06T22:00:00.000000000Z,BUY,WIN,266.54,13593.50
2026-05-11T01:00:00.000000000Z,BUY,LOSS,-135.94,13457.56
2026-05-11T13:00:00.000000000Z,BUY,LOSS,-134.58,13322.98
2026-05-13T03:00:00.000000000Z,SELL,WIN,266.46,13589.44
2026-05-14T06:00:00.000000000Z,SELL,LOSS,-135.89,13453.55
2026-05-14T10:00:00.000000000Z,SELL,WIN,269.08,13722.63
2026-05-17T23:00:00.000000000Z,SELL,LOSS,-137.23,13585.40
2026-05-19T09:00:00.000000000Z,SELL,WIN,271.70,13857.10
2026-05-25T13:00:00.000000000Z,BUY,LOSS,-138.57,13718.53
2026-05-25T18:00:00.000000000Z,BUY,LOSS,-137.19,13581.34
2026-05-27T03:00:00.000000000Z,BUY,WIN,271.62,13852.96
2026-06-04T23:00:00.000000000Z,SELL,LOSS,-138.53,13714.43
2026-06-08T06:00:00.000000000Z,SELL,LOSS,-137.14,13577.29
2026-06-10T17:00:00.000000000Z,BUY,LOSS,-135.77,13441.52
2026-06-11T14:00:00.000000000Z,SELL,WIN,268.84,13710.36
2026-06-16T15:00:00.000000000Z,BUY,LOSS,-137.10,13573.26
2026-06-19T02:00:00.000000000Z,SELL,WIN,271.46,13844.72
2026-06-25T11:00:00.000000000Z,SELL,LOSS,-138.45,13706.27
2026-06-30T18:00:00.000000000Z,BUY,LOSS,-137.06,13569.21
2026-07-02T00:00:00.000000000Z,SELL,LOSS,-135.69,13433.52
2026-07-08T09:00:00.000000000Z,SELL,LOSS,-134.34,13299.18
